,breed name,Dog Breed Group,Height,Height Avg.,Weight,Weight Avg.,Life Span,Life Span Avg.,Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
374,Treeing Tennessee Brindle,Hound Dogs,16 to 24 inches tall at the shoulder,20.0,30 to 45 pounds,37.5,10 to 12 years,11.0,2,1,2,3,2,3,3,4,4,4,4,3,4,4,3.0,5,4,3,3,3,3,4,3,4.0,1.0,1,4,4,4,5,3
375,Treeing Walker Coonhound,Hound Dogs,20 to 27 inches tall at the shoulder,23.5,45 to 80 pounds,62.5,12 to 13 years,12.5,3,1,2,5,2,3,3,4,4,4,3,3,4,3,2.0,5,4,3,4,4,2,4,3,4.0,5.0,5,4,4,4,5,3
376,Valley Bulldog,Mixed Breed Dogs,12 to 25 inches,18.5,50 to 125 pounds ,87.5,8 to 12 years,10.0,3,4,3,4,2,1,1,4,5,4,3,4,4,4,3.0,5,3,4,4,3,3,3,2,3.0,4.0,1,4,4,4,4,4
377,Vizsla,Sporting Dogs,21 to 24 inches tall at the shoulder,22.5,45 to 65 pounds,55.0,10 to 14 years,12.0,3,1,3,5,1,1,4,5,5,5,5,5,3,2,1.0,5,4,2,3,4,5,4,4,2.0,5.0,5,5,5,4,5,5
378,Weimaraner,Sporting Dogs,23 to 27 inches tall at the shoulder,25.0,55 to 85 pounds,70.0,11 to 13 years,12.0,3,1,2,5,1,3,4,4,5,4,3,3,4,4,4.0,5,3,2,4,4,4,5,5,5.0,2.0,5,5,5,5,5,5
379,Welsh Springer Spaniel,Sporting Dogs,17 to 19 inches tall at the shoulder,18.0,35 to 55 pounds,45.0,10 to 15 years,12.5,4,4,4,5,1,4,4,4,5,5,4,3,3,3,1.0,4,4,4,3,4,5,5,3,3.0,5.0,5,5,5,4,5,4
380,Welsh Terrier,Terrier Dogs,14 to 15 inches tall at the shoulder,14.5,Up to 20 pounds,20.0,10 to 14 years,12.0,3,3,3,3,2,2,2,5,4,5,5,4,3,2,1.0,2,5,3,2,4,3,5,2,5.0,4.0,4,5,5,5,5,5
381,West Highland White Terrier,Terrier Dogs,10 to 11 inches tall at the shoulder,10.5,13 to 22 pounds,17.5,12 to 16 years,14.0,4,4,4,4,2,4,3,4,5,4,5,3,3,4,1.0,3,3,4,2,4,4,4,2,4.0,4.0,3,4,4,4,4,4
382,Westiepoo,Mixed Breed Dogs,11 to 17 inches,14.0,20 to 35 pounds,27.5,12 to 15 years,13.5,3,3,4,4,1,3,3,4,4,4,4,4,3,1,1.0,5,4,4,2,4,4,4,3,4.0,3.0,3,4,4,4,4,5
383,Whippet,Hound Dogs,18 to 22 inches tall at the shoulder,20.0,18 to 48 pounds,33.0,12 to 15 years,13.5,3,5,3,5,2,1,4,5,5,5,4,4,3,2,1.0,5,4,1,3,4,4,4,4,5.0,1.0,4,4,5,2,5,5
384,Whoodle,Mixed Breed Dogs,12 to 20 inches,16.0,20 to 45 pounds,32.5,12 to 15 years,13.5,3,4,1,3,1,4,2,4,4,4,3,4,3,2,1.0,3,4,2,3,2,2,4,1,2.0,1.0,3,4,4,4,4,4
385,Wirehaired Pointing Griffon,Sporting Dogs,20 to 24 inches tall at the shoulder,22.0,50 to 60 pounds,55.0,10 to 14 years,12.0,3,1,3,4,1,4,3,5,5,5,4,5,3,1,1.0,3,4,3,3,4,5,5,3,4.0,4.0,4,4,5,3,4,5
386,Xoloitzcuintli,Companion Dogs,"1 foot, 6 inches to 1 foot, 11 inches tall at the shoulder",3.5,10 to 50 pounds,30.0,14 to 20 years,17.0,3,5,1,5,1,3,3,3,5,3,2,1,3,1,1.0,5,5,3,3,4,3,5,3,5.0,5.0,5,3,3,3,3,3
387,Yorkipoo,Hybrid Dogs,7 to 15 inches tall at the shoulder,11.0,3 to 14 pounds,8.5,10 to 15 years,12.5,4,5,5,4,3,2,3,4,5,4,3,2,2,1,1.0,4,3,2,1,4,4,4,3,3.0,5.0,2,4,5,3,3,4
388,Yorkshire Terrier,Companion Dogs,8 to 9 inches tall at the shoulder,8.5,4 to 6 pounds,5.0,12 to 15 years,13.5,3,5,4,5,2,2,2,3,4,2,3,2,2,2,1.0,2,4,2,1,3,3,3,2,2.0,3.0,3,5,5,4,4,5
